zip_code,latino_percentage,non_white_latino_percentage,median_income
79761,0.6051425510386287,0.14064639009582763,30705
79412,0.6230518303733237,0.09496194273287428,20388
79766,0.7680010397712503,0.15661554458019233,31122
76164,0.9388558884297521,0.31869834710743805,20059
75208,0.6623241096074867,0.07001952467514971,31854
79839,0.8608127043437646,0.2755721625408687,13148
79845,0.9564324817518248,0.028740875912408814,10891
79938,0.8334342391110795,0.09190735662476113,28489
79838,0.9562469615945551,0.31469777993842163,17025
79905,0.9771285707671652,0.21200055558127695,14792
79935,0.8430812324929972,0.0765266106442577,25811
79936,0.870193513707221,0.08788747536283825,26057
76573,0.8620689655172413,0.0,-666666666
76836,inf,,-666666666
76939,inf,,-666666666
77086,0.6571448526330493,0.12281743260231881,23552
77977,0.7573529411764706,0.06433823529411764,16509
77015,0.6882801848540113,0.05812985817235328,27105
77022,0.7532946569259419,0.10213436470419712,18900
76010,0.6154217348619732,0.14336822137544303,21875
76950,0.6493121963949665,0.3671813456062414,30308
76105,0.6010611278836961,0.288603397598291,20093
76110,0.6505303883357011,0.19544675743925305,26228
77017,0.8599969683189328,0.2694254964377747,25706
77428,inf,,-666666666
77432,0.6152976897087024,0.019553008857638554,-666666666
77038,0.7021744232915027,0.04674699787159797,24877
77039,0.8543354533491581,0.0389806727279024,21798
77060,0.7685465141755401,0.07309057447088207,20640
78836,1.0,0.0,8687
78224,0.9182967922629207,0.11448076670605234,24988
78264,0.8071166337192883,0.09601807399039819,21417
78352,1.0,0.0,14257
78368,0.6976744186046512,0.01828752642706133,21014
78384,0.9050357205087994,0.05436487192890749,19277
78538,0.9893148962916405,0.09338241896381427,17566
78539,0.8545211342964152,0.07883895131086138,25336
78550,0.8391649570701315,0.06606640832763477,20207
78575,0.9010233319688907,0.049201801064265305,35986
78589,0.9764113245017074,0.05516940737691023,18999
78065,0.7773584905660378,0.037017070979335154,24362
78045,0.9287995801154683,0.029062007947814328,34215
78052,0.6331806766139755,0.029546461811198133,25891
78019,0.9082202713487629,0.07342378292098961,13352
78040,0.9811184055557294,0.027944170718532613,14735
79903,0.889654008537554,0.1562998353584356,19565
79912,0.7040898515189128,0.1562216567497252,32719
79915,0.95040096671427,0.19792925409205753,17145
79927,0.9642673080226765,0.23000466291996946,17127
79932,0.8008710122862303,0.1919767730057006,31001
76831,inf,,-666666666
78617,0.773384148409119,0.5282061325086695,30373
78656,0.7591059602649006,0.01862582781456945,24570
75253,0.6729288702928871,0.08054393305439334,25118
79821,0.8448710762331838,0.17236547085201792,18590
